fileName,Mean Squared Error,R2 score,HIT@10
blogData_test-2012.02.01.00_00.csv,464.81030401024213,0.7091032138998118,5.0
blogData_test-2012.02.02.00_00.csv,266.8553975569794,0.7252678712528671,5.0
blogData_test-2012.02.03.00_00.csv,860.4570102528498,0.500550444007225,6.0
blogData_test-2012.02.04.00_00.csv,115.5709273200438,-0.5168811106031994,3.0
blogData_test-2012.02.05.00_00.csv,161.12797446857198,0.841445095877674,7.0
blogData_test-2012.02.06.00_00.csv,154.57077371326426,0.7723544396543457,7.0
blogData_test-2012.02.07.00_00.csv,278.1417706248277,-0.6752892498238448,7.0
blogData_test-2012.02.08.00_00.csv,846.3579394086114,0.39179466352340975,5.0
blogData_test-2012.02.09.00_00.csv,567.5879688975839,0.45542934596069695,5.0
blogData_test-2012.02.10.00_00.csv,348.64264246847483,0.5671733192136126,4.0
blogData_test-2012.02.11.00_00.csv,57.548074860488484,-2.35669103610727,2.0
blogData_test-2012.02.12.00_00.csv,27.993985287721433,-3.6247108233472556,2.0
blogData_test-2012.02.13.00_00.csv,302.3955356761249,-0.09708071417030273,4.0
blogData_test-2012.02.14.00_00.csv,1204.4111015607868,0.37082232685762595,7.0
blogData_test-2012.02.15.00_00.csv,2416.1836946252233,0.15472968054639347,5.0
blogData_test-2012.02.16.00_00.csv,929.0911638651123,0.3908443761551672,6.0
blogData_test-2012.02.17.00_00.csv,235.6423219836505,0.039957900186867845,4.0
blogData_test-2012.02.18.00_00.csv,351.77585677620056,0.3113898966934924,6.0
blogData_test-2012.02.19.00_00.csv,660.5538525115677,0.7157592058375345,7.0
blogData_test-2012.02.20.00_00.csv,393.22048956184176,0.6225654089757962,4.0
blogData_test-2012.02.21.00_00.csv,1401.661678553992,0.36708597951419786,9.0
blogData_test-2012.02.22.00_00.csv,240.23157216943213,0.03505195888274126,6.0
blogData_test-2012.02.23.00_00.csv,872.4694468131913,0.49349717095866585,5.0
blogData_test-2012.02.24.00_00.csv,373.5611988530222,0.6894342893901764,4.0
blogData_test-2012.02.25.00_00.csv,711.604225512213,0.413570522942982,6.0
blogData_test-2012.02.26.00_00.csv,1491.1986573854188,0.03770524729196989,6.0
blogData_test-2012.02.27.00_00.csv,225.8407944160787,-0.6898441738840988,6.0
blogData_test-2012.02.28.00_00.csv,806.4331626187108,0.2986310510759862,7.0
blogData_test-2012.02.29.00_00.csv,758.3719151744156,0.38256381359538205,5.0
blogData_test-2012.03.01.00_00.csv,813.9339967027523,-1.2274540964431595,5.0
blogData_test-2012.03.02.00_00.csv,923.2020005459013,-0.8714317269660785,4.0
blogData_test-2012.03.03.00_00.csv,495.921849503529,-1.1067391492211986,6.0
blogData_test-2012.03.04.00_00.csv,481.73802429025795,0.09294501876292305,5.0
blogData_test-2012.03.05.00_00.csv,1852.44983483009,0.08137415273197846,2.0
blogData_test-2012.03.06.00_00.csv,97.20769487594357,0.9478971003896622,5.0
blogData_test-2012.03.07.00_00.csv,975.0545023663132,-0.4441464579833294,5.0
blogData_test-2012.03.08.00_00.csv,446.9224329852761,-0.6408921654274797,5.0
blogData_test-2012.03.09.00_00.csv,2608.1551600872403,0.11037328653811462,5.0
blogData_test-2012.03.10.00_00.csv,90.04997069227488,0.3113188062496398,3.0
blogData_test-2012.03.11.00_00.csv,217.67210509569153,0.6916200692160688,4.0
blogData_test-2012.03.12.00_00.csv,255.4365561905386,0.09433556332659798,7.0
blogData_test-2012.03.13.00_00.csv,315.1644283309765,-0.5111320697681863,5.0
blogData_test-2012.03.14.00_00.csv,459.6609913822292,0.26903145406646556,5.0
blogData_test-2012.03.15.00_00.csv,303.48851568707073,0.19245551853495757,5.0
blogData_test-2012.03.16.00_00.csv,770.4479338341881,0.06307568107261585,6.0
blogData_test-2012.03.17.00_00.csv,780.7593613065687,-0.03766401770278738,5.0
blogData_test-2012.03.18.00_00.csv,157.16367201534774,-0.1387389926973075,3.0
blogData_test-2012.03.19.00_00.csv,138.5182315971012,0.43096772248794357,7.0
blogData_test-2012.03.20.00_00.csv,207.26000558810185,0.3770156986080806,4.0
blogData_test-2012.03.21.00_00.csv,221.83875538653913,-0.3956733034993092,8.0
blogData_test-2012.03.22.00_00.csv,304.4544898951196,0.25451516232225835,4.0
blogData_test-2012.03.23.00_00.csv,807.7346169614376,-0.31203753665169565,3.0
blogData_test-2012.03.24.00_00.csv,107.04165464535839,-1.394190382347411,3.0
blogData_test-2012.03.25.00_00.csv,696.0291459357721,0.2607191526533934,3.0
blogData_test-2012.03.26.01_00.csv,238.4692169428092,0.08896791083572553,5.0
blogData_test-2012.03.27.01_00.csv,578.4695934097692,0.5477004792947345,6.0
blogData_test-2012.03.28.01_00.csv,881.7482432309178,0.13413679838777837,4.0
blogData_test-2012.03.29.01_00.csv,806.479714983397,0.12691031278144216,6.0
blogData_test-2012.03.30.01_00.csv,1377.831112387854,0.40743100374904506,4.0
blogData_test-2012.03.31.01_00.csv,1662.5854214408826,0.26959302255682394,5.0
Average,626.6200111675649,0.016641902170282608,5.033333333333333
